Seq	DeltaMs	Endpoint		Dir	Hex	Ascii	AsciiNote
128	0	192.168.1.74:5025	RX	32 36 2E 34 33 32 35 31 32 	26.432512		
129	922	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
130	0	192.168.1.74:5025	RX	32 36 2E 34 30 39 38 37 38 	26.409878		
131	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
132	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 53 50 4F 49 4E 54 20 32 36 2E 30 	:SOURCE:CLOOP1:SPOINT 26.0		
133	0	192.168.1.74:5025	RX	32 36 2E 34 30 39 38 37 38 	26.409878		
134	2046	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
135	0	192.168.1.74:5025	RX	32 36 2E 33 38 39 33 34 37 	26.389347		
136	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
137	110	192.168.1.74:5025	RX	32 36 2E 33 38 37 39 31 35 	26.387915		
138	1843	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
139	0	192.168.1.74:5025	RX	32 36 2E 34 36 34 35 37 33 	26.464573		
140	1016	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
141	16	192.168.1.74:5025	RX	32 36 2E 35 34 38 37 36 37 	26.548767		
142	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
143	0	192.168.1.74:5025	RX	32 36 2E 37 36 38 37 35 37 	26.768757		
144	2046	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
